Nom_Universite;Site_Web
Université du Havre;['http://www.univ-lehavre.fr/']
Université du Maine;['http://www.univ-lemans.fr/']
Université des Sciences et Technologies de Lille (Lille I);['http://www.univ-lille1.fr/']
Université du Droit et de la Sante (Lille II);['http://www.univ-lille2.fr/']
Université Charles-de-Gaulle (Lille III);['http://www.univ-lille3.fr/']
Université du Littoral Cote d'Opale;['http://www.univ-littoral.fr/']
Université de Lorraine;['http://www.univ-lorraine.fr/']
Université de La Rochelle;['http://www.univ-lr.fr/']
Université Claude Bernard (Lyon I);['http://www.univ-lyon1.fr/']
Université Lumiére (Lyon II);['http://www.univ-lyon2.fr/']
Université Jean Moulin (Lyon III);['http://www.univ-lyon3.fr/']
Université de la Méditerranée (Aix Marseille II);['http://www.univmed.fr/']
Université de Metz;['http://www.univ-metz.fr/']
Université Paris-Est Marne-la-Vallée;['http://www.univ-mlv.fr/', 'http://www.u-pem.fr/']
Université de Montpellier;['https://www.umontpellier.fr/']
Université Paul Valéry (Montpellier III);['http://www.univ-montp3.fr/']
Université de Haute-Alsace;['http://www.univ-mulhouse.fr/', 'https://www.uha.fr/']
Université Nancy II;['http://www.univ-nancy2.fr/']
Université de Nantes;['http://www.univ-nantes.fr/']
Université d'Orléans;['http://www.univ-orleans.fr/']
Université Val-de-Marne (Paris XII);['http://www.univ-paris12.fr/']
Université Paris Nord (Paris XIII);['http://www.univ-paris13.fr/']
Université Panthéon-Sorbonne (Paris I);['http://www.univ-paris1.fr/']
Université Sorbonne-Nouvelle (Paris III);['http://www.univ-paris3.fr/']
Université René Descartes (Paris V);['http://www.univ-paris5.fr/']
Université Vincennes Saint-Denis (Paris VIII);['http://www.univ-paris8.fr/']
Université de Pau et des Pays de l'Adour;['http://www.univ-pau.fr/']
Université de Perpignan;['http://www.univ-perp.fr/']
Université de Poitiers;['http://www.univ-poitiers.fr/']
Université de Reims Champagne-Ardenne;['http://www.univ-reims.fr/']
Université Rennes I;['http://www.univ-rennes1.fr/']
Université de Rouen - Haute Normandie;['http://www.univ-rouen.fr/']
Université de Savoie;['http://www.univ-savoie.fr/']
Université Jean Monnet;['http://www.univ-st-etienne.fr/']
